epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,878.264,0.72849,1.99076,0.87931,0.96002,0.97794,0.98869,0.86176,0.52272,0.51123,0.83769,0.000369488,0.000369488,0.000369488
2,1837.01,0.61441,0.77618,0.86531,0.97531,0.98186,0.99178,0.87164,0.50052,0.4249,0.8367,0.000725173,0.000725173,0.000725173
3,2333.33,0.60456,0.5359,0.86911,0.97293,0.96494,0.99068,0.88421,0.51341,0.41016,0.8412,0.00106619,0.00106619,0.00106619
4,2837.72,0.57621,0.46173,0.86103,0.97577,0.98534,0.99203,0.88581,0.49628,0.37133,0.83833,0.00104501,0.00104501,0.00104501
5,3337.27,0.55753,0.42216,0.85664,0.97285,0.98153,0.99173,0.90735,0.4562,0.35612,0.82815,0.00102301,0.00102301,0.00102301
6,3837.42,0.53885,0.39744,0.85127,0.97324,0.97972,0.99152,0.90349,0.46822,0.35482,0.83972,0.00100101,0.00100101,0.00100101
7,4339.67,0.52706,0.3817,0.84928,0.97738,0.98591,0.9926,0.9175,0.43186,0.32513,0.82609,0.000979013,0.000979013,0.000979013
8,4840.2,0.51911,0.36859,0.84754,0.97003,0.98629,0.99218,0.92877,0.42203,0.3173,0.82127,0.000957015,0.000957015,0.000957015
9,5732.18,0.50931,0.36078,0.8473,0.97377,0.98502,0.99175,0.92849,0.4154,0.30674,0.8231,0.000935018,0.000935018,0.000935018
10,6220.68,0.50838,0.35543,0.84501,0.97803,0.98167,0.99255,0.93569,0.40249,0.29837,0.8227,0.00091302,0.00091302,0.00091302
11,6714.16,0.49596,0.34458,0.84185,0.97907,0.98749,0.99328,0.92943,0.41853,0.30124,0.82496,0.000891022,0.000891022,0.000891022
12,7205.73,0.48893,0.33721,0.84227,0.97715,0.98938,0.99306,0.93897,0.39077,0.28295,0.82161,0.000869024,0.000869024,0.000869024
13,7699.97,0.48047,0.33165,0.8409,0.97803,0.98253,0.99248,0.9344,0.40643,0.29357,0.82321,0.000847026,0.000847026,0.000847026
14,8200.4,0.47823,0.32479,0.83997,0.98039,0.9799,0.99265,0.93929,0.38854,0.28025,0.81888,0.000825029,0.000825029,0.000825029
15,8947.8,0.47327,0.32325,0.83951,0.98178,0.98572,0.99252,0.93778,0.3915,0.27695,0.82176,0.000803031,0.000803031,0.000803031
16,9431.38,0.46197,0.31494,0.83392,0.97996,0.98841,0.99319,0.93843,0.40821,0.28687,0.8241,0.000781033,0.000781033,0.000781033
17,9922.39,0.46549,0.31201,0.83488,0.98628,0.98402,0.99314,0.94123,0.3837,0.2695,0.81861,0.000759035,0.000759035,0.000759035
18,10437.8,0.45911,0.30687,0.83504,0.98168,0.98841,0.99264,0.94737,0.37056,0.26225,0.81642,0.000737037,0.000737037,0.000737037
19,10959.6,0.45573,0.3034,0.83352,0.98049,0.98962,0.99335,0.94506,0.37019,0.25616,0.81781,0.00071504,0.00071504,0.00071504
20,11454.9,0.45192,0.2971,0.83027,0.9805,0.98876,0.99292,0.94792,0.36548,0.25701,0.81567,0.000693042,0.000693042,0.000693042
21,11949.3,0.44685,0.29476,0.83407,0.97681,0.98819,0.99286,0.94772,0.37067,0.25629,0.81676,0.000671044,0.000671044,0.000671044
22,12439.4,0.43763,0.29097,0.82667,0.98172,0.99076,0.99309,0.94724,0.3696,0.25503,0.81453,0.000649046,0.000649046,0.000649046
23,12934.8,0.43664,0.28726,0.82904,0.98016,0.98725,0.99255,0.94703,0.36633,0.25016,0.81576,0.000627048,0.000627048,0.000627048
24,13420,0.4314,0.28571,0.82835,0.98329,0.9866,0.99324,0.94974,0.35438,0.24832,0.81094,0.000605051,0.000605051,0.000605051
25,13913.6,0.42756,0.28094,0.8268,0.98651,0.98984,0.99312,0.95131,0.35507,0.24327,0.8161,0.000583053,0.000583053,0.000583053
26,14405,0.42643,0.27856,0.82745,0.97702,0.99148,0.99297,0.95236,0.3473,0.2404,0.81099,0.000561055,0.000561055,0.000561055
27,14893.1,0.421,0.27523,0.82485,0.98273,0.99149,0.99365,0.95559,0.35058,0.23894,0.81156,0.000539057,0.000539057,0.000539057
28,15383.3,0.4209,0.27229,0.82583,0.9861,0.98536,0.99375,0.95611,0.35359,0.23497,0.81183,0.000517059,0.000517059,0.000517059
29,16030.7,0.42175,0.27183,0.82668,0.97859,0.99292,0.99256,0.95392,0.34183,0.23458,0.8089,0.000495062,0.000495062,0.000495062
30,16590.8,0.41146,0.26638,0.82381,0.98582,0.98938,0.99315,0.95703,0.34461,0.2276,0.80949,0.000473064,0.000473064,0.000473064
31,17075.9,0.40854,0.26273,0.82093,0.98532,0.98938,0.99324,0.95579,0.34551,0.22585,0.81179,0.000451066,0.000451066,0.000451066
32,17573.1,0.4079,0.26189,0.82295,0.98779,0.9895,0.99345,0.9573,0.33682,0.22378,0.80971,0.000429068,0.000429068,0.000429068
33,18064.8,0.40361,0.25981,0.82144,0.98803,0.98755,0.99367,0.95917,0.33497,0.22346,0.80862,0.00040707,0.00040707,0.00040707
34,18559.4,0.40031,0.25743,0.82232,0.98105,0.99283,0.99336,0.95642,0.34564,0.22778,0.80951,0.000385073,0.000385073,0.000385073
35,19045.2,0.40041,0.25436,0.821,0.98341,0.99335,0.99308,0.9582,0.33745,0.21906,0.80928,0.000363075,0.000363075,0.000363075
36,19723.2,0.39491,0.25123,0.81852,0.987,0.98825,0.99313,0.95853,0.3376,0.21944,0.80766,0.000341077,0.000341077,0.000341077
37,20955.4,0.39214,0.25025,0.81879,0.9878,0.98924,0.99349,0.9599,0.33177,0.21899,0.80751,0.000319079,0.000319079,0.000319079
38,22187.3,0.39132,0.2471,0.81815,0.98525,0.99054,0.99359,0.95895,0.33086,0.21697,0.80594,0.000297081,0.000297081,0.000297081
39,23417.1,0.38662,0.24503,0.81865,0.98617,0.98975,0.99321,0.96009,0.32776,0.21309,0.8066,0.000275084,0.000275084,0.000275084
40,24646.4,0.38142,0.241,0.81638,0.98433,0.99056,0.99344,0.96013,0.32972,0.21115,0.80713,0.000253086,0.000253086,0.000253086
41,26192.2,0.35429,0.22303,0.79806,0.98495,0.99135,0.99327,0.95807,0.33491,0.21785,0.8081,0.000231088,0.000231088,0.000231088
42,27444.9,0.34982,0.21901,0.79787,0.98285,0.99438,0.99336,0.95744,0.33601,0.21728,0.80778,0.00020909,0.00020909,0.00020909
43,28677.1,0.34249,0.21553,0.79677,0.9795,0.99324,0.99323,0.95928,0.32751,0.21315,0.80693,0.000187092,0.000187092,0.000187092
44,29911.6,0.33801,0.21183,0.79406,0.98571,0.9916,0.99329,0.96112,0.32449,0.20998,0.80664,0.000165095,0.000165095,0.000165095
45,31143.2,0.3319,0.20729,0.79418,0.98539,0.99314,0.99332,0.96051,0.32083,0.2064,0.80624,0.000143097,0.000143097,0.000143097
46,32375.4,0.32699,0.20422,0.79374,0.98478,0.99231,0.99344,0.96028,0.32214,0.20697,0.80585,0.000121099,0.000121099,0.000121099
47,33605.3,0.32353,0.20118,0.79234,0.9872,0.99121,0.99338,0.96125,0.32289,0.20443,0.80729,9.91012e-05,9.91012e-05,9.91012e-05
48,34805.5,0.32031,0.19792,0.79307,0.98549,0.99037,0.99319,0.96284,0.31927,0.20167,0.8076,7.71034e-05,7.71034e-05,7.71034e-05
49,35765.9,0.31643,0.19574,0.79175,0.98647,0.99048,0.99318,0.96193,0.31953,0.20185,0.80704,5.51056e-05,5.51056e-05,5.51056e-05
50,36250.9,0.31068,0.19193,0.78941,0.98531,0.99138,0.99326,0.96233,0.31455,0.19896,0.80604,3.31078e-05,3.31078e-05,3.31078e-05
