epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,702.835,0.62983,0.57476,0.99613,0.86101,0.78928,0.89481,0.8231,0.43936,0.36166,0.87625,0.000369488,0.000369488,0.000369488
2,1199.29,0.56189,0.45871,0.93783,0.87473,0.79155,0.92182,0.83052,0.46834,0.36189,0.87374,0.000725173,0.000725173,0.000725173
3,1686.23,0.55959,0.4564,0.93193,0.82152,0.89482,0.91507,0.81659,0.44512,0.37636,0.86337,0.00106619,0.00106619,0.00106619
4,2167.67,0.55761,0.45258,0.92885,0.87727,0.91368,0.95712,0.87813,0.44776,0.35685,0.86116,0.00104501,0.00104501,0.00104501
5,2884.04,0.54458,0.43709,0.91751,0.87658,0.87478,0.93923,0.86787,0.43496,0.34506,0.8567,0.00102301,0.00102301,0.00102301
6,4124.33,0.53798,0.42866,0.91524,0.80393,0.902,0.92637,0.862,0.42414,0.35315,0.8458,0.00100101,0.00100101,0.00100101
7,5351.89,0.52999,0.423,0.90977,0.87726,0.90294,0.94457,0.87573,0.41204,0.33277,0.84942,0.000979013,0.000979013,0.000979013
8,6447.37,0.52752,0.41553,0.91216,0.90164,0.92653,0.96827,0.89898,0.41062,0.31635,0.84184,0.000957015,0.000957015,0.000957015
9,6925.33,0.52525,0.4124,0.90862,0.94286,0.8876,0.97165,0.90487,0.40966,0.31643,0.84291,0.000935018,0.000935018,0.000935018
10,7402.43,0.51484,0.39919,0.90471,0.8918,0.89281,0.95473,0.90257,0.38887,0.30793,0.83573,0.00091302,0.00091302,0.00091302
11,7879.39,0.50912,0.39394,0.90195,0.90934,0.93498,0.96045,0.89451,0.39718,0.31086,0.83881,0.000891022,0.000891022,0.000891022
12,8356.48,0.50972,0.39151,0.90134,0.93482,0.8844,0.95794,0.89259,0.39514,0.29986,0.83585,0.000869024,0.000869024,0.000869024
13,8833.35,0.50191,0.38822,0.89863,0.92014,0.937,0.97324,0.91449,0.39314,0.30501,0.83679,0.000847026,0.000847026,0.000847026
14,9310.34,0.4962,0.38314,0.8945,0.95234,0.87927,0.97186,0.89738,0.39788,0.29826,0.83652,0.000825029,0.000825029,0.000825029
15,9787.45,0.49157,0.37586,0.89554,0.91572,0.91949,0.97463,0.91764,0.38037,0.29527,0.83229,0.000803031,0.000803031,0.000803031
16,10264.2,0.48959,0.37189,0.8913,0.9171,0.90263,0.96838,0.91193,0.38368,0.29301,0.83564,0.000781033,0.000781033,0.000781033
17,10741.4,0.48611,0.37156,0.88542,0.89135,0.93311,0.95868,0.89338,0.38646,0.29269,0.8336,0.000759035,0.000759035,0.000759035
18,11219.8,0.48371,0.36395,0.88898,0.91405,0.93385,0.96416,0.90817,0.39094,0.29013,0.83579,0.000737037,0.000737037,0.000737037
19,11696.8,0.48099,0.36202,0.88551,0.90755,0.92659,0.97047,0.91883,0.38557,0.2927,0.83165,0.00071504,0.00071504,0.00071504
20,12173.7,0.47563,0.35973,0.88482,0.92531,0.9089,0.96883,0.91548,0.38013,0.284,0.82995,0.000693042,0.000693042,0.000693042
21,12651,0.47203,0.35796,0.88516,0.90732,0.95421,0.9719,0.91987,0.3714,0.278,0.83275,0.000671044,0.000671044,0.000671044
22,13139.1,0.47308,0.34979,0.88384,0.94276,0.91497,0.97625,0.92928,0.36923,0.27293,0.828,0.000649046,0.000649046,0.000649046
23,13615.7,0.47025,0.35093,0.88563,0.87204,0.92134,0.96132,0.90743,0.37274,0.2794,0.82822,0.000627048,0.000627048,0.000627048
24,14093.2,0.46205,0.34243,0.88037,0.90055,0.90781,0.9625,0.9178,0.3729,0.27892,0.8314,0.000605051,0.000605051,0.000605051
25,14571.6,0.46302,0.34275,0.87844,0.87656,0.92047,0.96308,0.90796,0.36362,0.27545,0.82756,0.000583053,0.000583053,0.000583053
26,15473.9,0.4618,0.34122,0.88057,0.91725,0.91334,0.97146,0.92539,0.36281,0.26306,0.82711,0.000561055,0.000561055,0.000561055
27,15948.5,0.46246,0.34363,0.87718,0.91005,0.87418,0.9631,0.90611,0.37069,0.2734,0.8303,0.000539057,0.000539057,0.000539057
28,16422.4,0.46179,0.3365,0.88256,0.90439,0.90791,0.96979,0.92574,0.36262,0.27098,0.82494,0.000517059,0.000517059,0.000517059
29,16896.6,0.44934,0.33364,0.87721,0.94462,0.88752,0.96906,0.91603,0.37309,0.27229,0.82931,0.000495062,0.000495062,0.000495062
30,17370.5,0.44807,0.32904,0.87238,0.86604,0.9257,0.9636,0.91393,0.36405,0.27098,0.82663,0.000473064,0.000473064,0.000473064
31,17879.1,0.44669,0.32497,0.87343,0.91656,0.94956,0.97633,0.92768,0.35737,0.26063,0.82183,0.000451066,0.000451066,0.000451066
32,18353.3,0.44091,0.32364,0.87127,0.91896,0.91422,0.96795,0.92153,0.36075,0.26868,0.82412,0.000429068,0.000429068,0.000429068
33,18827.7,0.4402,0.31766,0.86759,0.9269,0.90415,0.97001,0.92911,0.35071,0.25914,0.82211,0.00040707,0.00040707,0.00040707
34,19302.5,0.43542,0.31504,0.87029,0.88028,0.89353,0.95732,0.9117,0.35455,0.26281,0.82168,0.000385073,0.000385073,0.000385073
35,19777,0.4332,0.30907,0.86874,0.92454,0.88591,0.97071,0.93236,0.35834,0.26144,0.82478,0.000363075,0.000363075,0.000363075
36,20251.1,0.43749,0.30935,0.86963,0.88785,0.903,0.96487,0.92449,0.35435,0.26361,0.82186,0.000341077,0.000341077,0.000341077
37,20724.9,0.42875,0.30621,0.86848,0.90539,0.94177,0.97533,0.93071,0.35343,0.25629,0.82029,0.000319079,0.000319079,0.000319079
38,21184.6,0.42558,0.3045,0.86415,0.91437,0.91644,0.97599,0.93503,0.34877,0.25216,0.82029,0.000297081,0.000297081,0.000297081
39,21602.4,0.4249,0.30003,0.86499,0.92807,0.90767,0.97595,0.93495,0.34958,0.2511,0.82093,0.000275084,0.000275084,0.000275084
40,22019.5,0.42641,0.30144,0.86342,0.90729,0.90798,0.97208,0.93335,0.34934,0.24962,0.82054,0.000253086,0.000253086,0.000253086
41,22744.4,0.3877,0.26896,0.83344,0.88667,0.92668,0.97161,0.92672,0.35912,0.25687,0.82302,0.000231088,0.000231088,0.000231088
42,23223.6,0.37809,0.26099,0.83543,0.93788,0.90377,0.9729,0.93156,0.35351,0.25305,0.8211,0.00020909,0.00020909,0.00020909
43,23906.6,0.37517,0.25702,0.835,0.91197,0.93343,0.97726,0.93572,0.3515,0.24666,0.82243,0.000187092,0.000187092,0.000187092
44,24386.1,0.37325,0.25582,0.83044,0.91155,0.91849,0.97476,0.93346,0.3488,0.24842,0.82104,0.000165095,0.000165095,0.000165095
45,24868.6,0.36769,0.24964,0.82741,0.93655,0.90513,0.97617,0.93463,0.3513,0.24872,0.8214,0.000143097,0.000143097,0.000143097
46,25348.6,0.36313,0.24687,0.82839,0.9231,0.93153,0.97828,0.93917,0.34639,0.2445,0.82034,0.000121099,0.000121099,0.000121099
47,25828.8,0.36111,0.24465,0.82632,0.94834,0.89122,0.97605,0.93437,0.34867,0.24355,0.82025,9.91012e-05,9.91012e-05,9.91012e-05
48,26308.2,0.35907,0.2392,0.82348,0.95152,0.89388,0.97615,0.93687,0.34908,0.2446,0.82095,7.71034e-05,7.71034e-05,7.71034e-05
49,26791.3,0.35487,0.23804,0.82145,0.94646,0.89919,0.97473,0.93401,0.34809,0.24447,0.82084,5.51056e-05,5.51056e-05,5.51056e-05
50,27270.5,0.35579,0.23675,0.82675,0.93391,0.89775,0.97388,0.93463,0.34771,0.24416,0.82131,3.31078e-05,3.31078e-05,3.31078e-05
