epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1052.37,0.47183,0.29215,0.84638,0.97504,0.97984,0.99293,0.92472,0.40714,0.26383,0.82061,0.000369488,0.000369488,0.000369488
2,1941.58,0.47423,0.30184,0.84397,0.97463,0.94825,0.97028,0.90873,0.39225,0.2672,0.81882,0.000725173,0.000725173,0.000725173
3,2719.05,0.4768,0.31413,0.84598,0.97629,0.97728,0.99158,0.92381,0.4121,0.28862,0.82516,0.00106619,0.00106619,0.00106619
4,3431.24,0.47734,0.31654,0.84692,0.97455,0.97515,0.99262,0.92966,0.39724,0.2914,0.81936,0.00104501,0.00104501,0.00104501
5,4300.82,0.47133,0.31199,0.84534,0.9754,0.94256,0.97158,0.90507,0.41193,0.28721,0.82755,0.00102301,0.00102301,0.00102301
6,5765.65,0.46995,0.30898,0.84316,0.98652,0.96925,0.99293,0.92907,0.39483,0.27445,0.82158,0.00100101,0.00100101,0.00100101
7,6662.01,0.46623,0.30522,0.84274,0.98605,0.98128,0.99386,0.93367,0.38729,0.26062,0.81872,0.000979013,0.000979013,0.000979013
8,7393.52,0.45924,0.29716,0.84059,0.98357,0.98079,0.99386,0.93266,0.38009,0.26331,0.81743,0.000957015,0.000957015,0.000957015
9,8030.83,0.45737,0.29615,0.83996,0.98631,0.95593,0.9777,0.92488,0.37733,0.26427,0.8171,0.000935018,0.000935018,0.000935018
10,9208.11,0.44686,0.29336,0.83811,0.98047,0.9792,0.99333,0.94299,0.36411,0.26047,0.81395,0.00091302,0.00091302,0.00091302
11,10722.9,0.44734,0.28779,0.83857,0.98342,0.98794,0.99397,0.94529,0.36551,0.25448,0.81443,0.000891022,0.000891022,0.000891022
12,12022.7,0.44128,0.28513,0.83483,0.98146,0.97841,0.99347,0.94207,0.37042,0.25757,0.82046,0.000869024,0.000869024,0.000869024
13,13248.4,0.44112,0.28345,0.83793,0.97677,0.98806,0.99397,0.94683,0.35893,0.24745,0.81503,0.000847026,0.000847026,0.000847026
14,14561,0.43534,0.2779,0.83456,0.98155,0.98326,0.99372,0.94466,0.37059,0.24982,0.81484,0.000825029,0.000825029,0.000825029
15,15791.3,0.43089,0.27544,0.83337,0.98336,0.98486,0.99413,0.94723,0.36681,0.24179,0.81474,0.000803031,0.000803031,0.000803031
16,17172.5,0.42921,0.27414,0.82929,0.98775,0.97696,0.99224,0.94542,0.36513,0.24157,0.81602,0.000781033,0.000781033,0.000781033
17,18466.5,0.42318,0.26923,0.83025,0.98451,0.98428,0.99397,0.94777,0.35739,0.23744,0.8137,0.000759035,0.000759035,0.000759035
18,19733.7,0.42751,0.26982,0.83396,0.97765,0.98557,0.99357,0.95124,0.35308,0.24167,0.81133,0.000737037,0.000737037,0.000737037
19,20882.5,0.41764,0.26517,0.83089,0.9841,0.98376,0.99338,0.94705,0.35394,0.23752,0.8133,0.00071504,0.00071504,0.00071504
1,687.259,0.47183,0.29215,0.84638,0.97504,0.97984,0.99293,0.92472,0.40714,0.26383,0.82061,0.000369488,0.000369488,0.000369488
2,1364.21,0.47423,0.30184,0.84397,0.97887,0.97661,0.9933,0.93238,0.39225,0.2672,0.81882,0.000725173,0.000725173,0.000725173
3,1865.36,0.4768,0.31413,0.84598,0.97629,0.97728,0.99158,0.92381,0.4121,0.28862,0.82516,0.00106619,0.00106619,0.00106619
4,2371.46,0.47734,0.31654,0.84692,0.97455,0.97515,0.99262,0.92966,0.39724,0.2914,0.81936,0.00104501,0.00104501,0.00104501
5,2873.48,0.47133,0.31199,0.84534,0.9756,0.97718,0.9927,0.92639,0.41193,0.28721,0.82755,0.00102301,0.00102301,0.00102301
