epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,619.503,0.08051,0.98708,1,0.32772,0.0033315,0.0033315,0.0033315
2,1154.36,0.07429,0.98317,1,0.33288,0.00653287,0.00653287,0.00653287
3,1640,0.1006,0.96966,1,0.34815,0.00960224,0.00960224,0.00960224
4,2122.91,0.11904,0.9763,1,0.34384,0.009406,0.009406,0.009406
5,2601.49,0.10976,0.97938,1,0.3368,0.009208,0.009208,0.009208
6,3079.98,0.10208,0.98614,1,0.33085,0.00901,0.00901,0.00901
7,3557.66,0.09659,0.98815,1,0.32793,0.008812,0.008812,0.008812
8,4037.02,0.0896,0.98151,1,0.33284,0.008614,0.008614,0.008614
9,4516.22,0.09098,0.98934,1,0.32816,0.008416,0.008416,0.008416
10,4995.43,0.08712,0.98744,1,0.32855,0.008218,0.008218,0.008218
11,5474.17,0.08216,0.98839,1,0.32806,0.00802,0.00802,0.00802
12,5953.65,0.07625,0.98945,1,0.32687,0.007822,0.007822,0.007822
13,6432.35,0.07717,0.98874,1,0.32576,0.007624,0.007624,0.007624
14,6912.62,0.07848,0.98934,1,0.32602,0.007426,0.007426,0.007426
15,7389.9,0.07292,0.98957,1,0.3259,0.007228,0.007228,0.007228
16,7869.1,0.07381,0.99194,1,0.3236,0.00703,0.00703,0.00703
17,8348.39,0.07071,0.99277,1,0.32299,0.006832,0.006832,0.006832
18,8826.92,0.06733,0.99147,1,0.32318,0.006634,0.006634,0.006634
19,9306.06,0.06625,0.99253,1,0.32303,0.006436,0.006436,0.006436
20,9784.85,0.06539,0.99313,1,0.32199,0.006238,0.006238,0.006238
21,10263.9,0.06316,0.99301,1,0.32184,0.00604,0.00604,0.00604
22,10743.7,0.06316,0.99313,1,0.32182,0.005842,0.005842,0.005842
23,11223.8,0.0605,0.99325,1,0.32179,0.005644,0.005644,0.005644
24,11703.7,0.06354,0.99372,1,0.32191,0.005446,0.005446,0.005446
25,12182.1,0.06046,0.99348,1,0.32197,0.005248,0.005248,0.005248
26,12661.1,0.05733,0.99301,1,0.32183,0.00505,0.00505,0.00505
27,13138.9,0.05734,0.99289,1,0.3216,0.004852,0.004852,0.004852
28,13619.5,0.05822,0.99325,1,0.32157,0.004654,0.004654,0.004654
29,14106.6,0.05577,0.99313,1,0.32159,0.004456,0.004456,0.004456
30,14593.7,0.05038,0.99336,1,0.32132,0.004258,0.004258,0.004258
31,15072.3,0.05227,0.99348,1,0.32123,0.00406,0.00406,0.00406
32,15548.6,0.05182,0.99313,1,0.32116,0.003862,0.003862,0.003862
33,16022.6,0.04878,0.99372,1,0.32102,0.003664,0.003664,0.003664
34,16497.3,0.04819,0.99372,1,0.32088,0.003466,0.003466,0.003466
35,16972.4,0.04882,0.99348,1,0.32078,0.003268,0.003268,0.003268
36,17447.8,0.04409,0.99325,1,0.32075,0.00307,0.00307,0.00307
37,17922.5,0.04289,0.99325,1,0.32064,0.002872,0.002872,0.002872
38,18397.2,0.04305,0.99348,1,0.32058,0.002674,0.002674,0.002674
39,18872.4,0.0417,0.99336,1,0.32052,0.002476,0.002476,0.002476
40,19348.8,0.04108,0.99336,1,0.3205,0.002278,0.002278,0.002278
41,20186.8,0.03624,0.99301,1,0.32037,0.00208,0.00208,0.00208
42,20685.3,0.03787,0.99325,1,0.32036,0.001882,0.001882,0.001882
43,21164.5,0.0366,0.99289,1,0.32029,0.001684,0.001684,0.001684
44,21642.9,0.03341,0.99325,1,0.32026,0.001486,0.001486,0.001486
45,22122.1,0.03063,0.99336,1,0.3202,0.001288,0.001288,0.001288
46,22605.3,0.03063,0.99336,1,0.32015,0.00109,0.00109,0.00109
47,23081.6,0.03003,0.99336,1,0.32009,0.000892,0.000892,0.000892
48,23557.4,0.02788,0.99336,1,0.32001,0.000694,0.000694,0.000694
49,24034,0.02832,0.99336,1,0.31995,0.000496,0.000496,0.000496
50,24510.2,0.02611,0.99325,1,0.3199,0.000298,0.000298,0.000298
