epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,15.6597,0.03498,0.98286,1,0.04146,0.00054845,0.00054845,0.00054845
2,28.9952,0.03362,0.98,1,0.03473,0.00108226,0.00108226,0.00108226
3,42.0762,0.04446,0.98857,1,0.03887,0.00159406,0.00159406,0.00159406
4,54.6385,0.03554,0.96571,1,0.12099,0.00156798,0.00156798,0.00156798
5,67.0232,0.03916,0.99714,1,0.07754,0.00153497,0.00153497,0.00153497
6,79.305,0.01812,0.99143,1,0.03496,0.00150197,0.00150197,0.00150197
7,91.6447,0.04396,0.98571,1,0.03727,0.00146896,0.00146896,0.00146896
8,103.95,0.04177,0.98571,1,0.06714,0.00143595,0.00143595,0.00143595
9,116.615,0.05567,0.97714,1,0.06274,0.00140295,0.00140295,0.00140295
10,129.521,0.03382,0.98857,1,0.04318,0.00136994,0.00136994,0.00136994
11,142.488,0.02482,0.98286,1,0.05276,0.00133693,0.00133693,0.00133693
12,155.368,0.0378,0.97714,1,0.08604,0.00130393,0.00130393,0.00130393
13,167.887,0.04702,0.98571,1,0.05617,0.00127092,0.00127092,0.00127092
14,180.84,0.02827,0.99143,1,0.04636,0.00123791,0.00123791,0.00123791
15,192.706,0.03263,0.99143,1,0.05838,0.00120491,0.00120491,0.00120491
16,204.513,0.03631,0.99143,1,0.03427,0.0011719,0.0011719,0.0011719
17,216.593,0.02142,0.98571,1,0.04365,0.00113889,0.00113889,0.00113889
18,228.49,0.01685,0.98857,1,0.06301,0.00110589,0.00110589,0.00110589
19,240.373,0.0265,0.98571,1,0.03997,0.00107288,0.00107288,0.00107288
20,252.487,0.03243,0.98286,1,0.06548,0.00103987,0.00103987,0.00103987
21,264.794,0.01664,0.99143,1,0.02123,0.00100687,0.00100687,0.00100687
22,280.904,0.01592,0.99143,1,0.02333,0.000973861,0.000973861,0.000973861
23,293.23,0.01525,0.98857,1,0.03,0.000940855,0.000940855,0.000940855
24,305.249,0.01946,0.99143,1,0.02787,0.000907848,0.000907848,0.000907848
25,317.24,0.02705,0.98857,1,0.05083,0.000874842,0.000874842,0.000874842
26,329.032,0.0242,0.99143,1,0.03952,0.000841835,0.000841835,0.000841835
27,340.992,0.02132,0.99143,1,0.03842,0.000808828,0.000808828,0.000808828
28,352.918,0.02388,0.99429,1,0.03823,0.000775822,0.000775822,0.000775822
29,364.944,0.01787,0.98857,1,0.05521,0.000742815,0.000742815,0.000742815
30,376.832,0.01387,0.98857,1,0.04203,0.000709809,0.000709809,0.000709809
31,388.929,0.01888,0.98571,1,0.032,0.000676802,0.000676802,0.000676802
32,401.26,0.01136,0.98571,1,0.04311,0.000643795,0.000643795,0.000643795
33,413.601,0.02126,0.98857,1,0.05523,0.000610789,0.000610789,0.000610789
34,426.626,0.01563,0.99429,1,0.02421,0.000577782,0.000577782,0.000577782
35,439.175,0.00887,0.99429,1,0.02821,0.000544776,0.000544776,0.000544776
36,452.277,0.01456,0.99429,1,0.02017,0.000511769,0.000511769,0.000511769
37,464.906,0.01622,0.99143,1,0.01905,0.000478762,0.000478762,0.000478762
38,477.542,0.01738,0.98286,1,0.03352,0.000445756,0.000445756,0.000445756
39,489.795,0.007,0.98571,1,0.03671,0.000412749,0.000412749,0.000412749
40,501.85,0.02119,0.98857,1,0.04016,0.000379743,0.000379743,0.000379743
41,557.998,0.02108,0.98571,1,0.04575,0.000346736,0.000346736,0.000346736
42,570.324,0.01802,0.99429,1,0.03612,0.000313729,0.000313729,0.000313729
43,582.686,0.00856,0.99143,1,0.03581,0.000280723,0.000280723,0.000280723
44,596.7,0.00985,0.99429,1,0.03863,0.000247716,0.000247716,0.000247716
45,609.111,0.00937,0.99429,1,0.03866,0.00021471,0.00021471,0.00021471
46,621.279,0.01658,0.99429,1,0.04394,0.000181703,0.000181703,0.000181703
47,633.333,0.01369,0.99143,1,0.03943,0.000148696,0.000148696,0.000148696
48,645.398,0.00659,0.99429,1,0.03638,0.00011569,0.00011569,0.00011569
49,657.572,0.00618,0.99429,1,0.03485,8.26832e-05,8.26832e-05,8.26832e-05
50,669.569,0.00649,0.99143,1,0.03742,4.96766e-05,4.96766e-05,4.96766e-05
