epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.3797,0.60604,0.3948,0.89571,0.94628,0.94159,0.98252,0.88719,0.50276,0.32022,0.85154,0.000327778,0.000327778,0.000327778
2,203.207,0.59955,0.36166,0.88833,0.95713,0.9486,0.98827,0.8963,0.49964,0.31411,0.85697,0.000648021,0.000648021,0.000648021
3,298.055,0.57624,0.35065,0.87758,0.94479,0.96495,0.98761,0.88113,0.50333,0.32945,0.84539,0.000955064,0.000955064,0.000955064
4,391.367,0.56116,0.34119,0.86958,0.96266,0.96381,0.99009,0.88699,0.51861,0.32512,0.84859,0.0009406,0.0009406,0.0009406
5,499.317,0.5543,0.3387,0.86852,0.95707,0.97196,0.99078,0.89842,0.50918,0.31519,0.83849,0.0009208,0.0009208,0.0009208
6,600.049,0.53851,0.32819,0.86475,0.96555,0.96262,0.99028,0.89307,0.53012,0.31602,0.83991,0.000901,0.000901,0.000901
7,705.647,0.52661,0.32679,0.85231,0.95691,0.96262,0.99001,0.88988,0.5081,0.3294,0.84108,0.0008812,0.0008812,0.0008812
8,808.324,0.53538,0.3202,0.8577,0.96517,0.97111,0.99079,0.88993,0.51344,0.30661,0.83974,0.0008614,0.0008614,0.0008614
9,924.176,0.52891,0.31705,0.85736,0.97181,0.96653,0.99146,0.89797,0.50792,0.30868,0.82654,0.0008416,0.0008416,0.0008416
10,1045.32,0.53727,0.31917,0.85552,0.9649,0.96963,0.99032,0.88907,0.5108,0.31433,0.82702,0.0008218,0.0008218,0.0008218
11,1164.9,0.52806,0.32146,0.85947,0.97845,0.95492,0.99069,0.8939,0.51446,0.31354,0.83692,0.000802,0.000802,0.000802
12,1274.58,0.51072,0.31113,0.84704,0.97634,0.96429,0.99114,0.90142,0.49437,0.31087,0.82946,0.0007822,0.0007822,0.0007822
13,1398.81,0.49957,0.3042,0.84401,0.97865,0.96386,0.99151,0.89632,0.51942,0.30799,0.8351,0.0007624,0.0007624,0.0007624
14,1522.45,0.51201,0.30267,0.85096,0.97424,0.96028,0.99219,0.89986,0.48013,0.30009,0.83314,0.0007426,0.0007426,0.0007426
15,1629.75,0.4967,0.29823,0.8427,0.96969,0.97165,0.99132,0.89332,0.51572,0.30543,0.83845,0.0007228,0.0007228,0.0007228
16,1732.06,0.49134,0.29547,0.8397,0.96992,0.96729,0.99035,0.89522,0.50228,0.311,0.83833,0.000703,0.000703,0.000703
17,1844.84,0.47386,0.29263,0.83936,0.97681,0.96963,0.99099,0.90994,0.49232,0.29572,0.8429,0.0006832,0.0006832,0.0006832
