epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,835.972,0.75558,2.39951,0.92333,0.93933,0.88143,0.93746,0.79503,0.5715,0.61332,0.8629,0.000369488,0.000369488,0.000369488
2,1575.34,0.66032,0.96995,0.89589,0.90849,0.90339,0.95018,0.81283,0.58702,0.58708,0.86688,0.000725173,0.000725173,0.000725173
3,2128.97,0.66551,0.6517,0.90381,0.9311,0.93671,0.97199,0.84789,0.53926,0.50067,0.85422,0.00106619,0.00106619,0.00106619
4,2782.82,0.63949,0.55372,0.89211,0.94476,0.93933,0.97856,0.85474,0.54565,0.46727,0.8629,0.00104501,0.00104501,0.00104501
5,3295.53,0.60357,0.49084,0.88185,0.95167,0.93698,0.98373,0.87959,0.48753,0.42999,0.84056,0.00102301,0.00102301,0.00102301
6,3847.67,0.59166,0.46625,0.87632,0.95244,0.95442,0.98497,0.86452,0.54428,0.42269,0.85871,0.00100101,0.00100101,0.00100101
7,4388.35,0.58089,0.44092,0.87432,0.9488,0.95338,0.98712,0.87257,0.51152,0.4125,0.84614,0.000979013,0.000979013,0.000979013
8,4877.75,0.56768,0.424,0.87017,0.95582,0.96696,0.9878,0.89714,0.45693,0.36222,0.83333,0.000957015,0.000957015,0.000957015
9,5378.08,0.56289,0.42181,0.86881,0.96253,0.96268,0.98805,0.89982,0.45106,0.3609,0.83526,0.000935018,0.000935018,0.000935018
10,5886.5,0.5581,0.40931,0.86741,0.97327,0.95801,0.98883,0.89932,0.45309,0.34716,0.83387,0.00091302,0.00091302,0.00091302
11,6392.43,0.54539,0.39131,0.86248,0.94295,0.97642,0.9889,0.89879,0.46289,0.35124,0.83515,0.000891022,0.000891022,0.000891022
12,6896.7,0.5397,0.37978,0.86329,0.96597,0.95954,0.98713,0.91133,0.43355,0.34171,0.82529,0.000869024,0.000869024,0.000869024
13,7406.66,0.53257,0.38037,0.86344,0.97727,0.95796,0.99057,0.90349,0.44103,0.33163,0.82455,0.000847026,0.000847026,0.000847026
14,7908.1,0.52676,0.37238,0.86162,0.96686,0.96514,0.98999,0.91201,0.42129,0.32509,0.82733,0.000825029,0.000825029,0.000825029
15,8412.98,0.52029,0.36795,0.85954,0.96816,0.97239,0.99064,0.91651,0.42136,0.30857,0.82108,0.000803031,0.000803031,0.000803031
16,8915.16,0.50835,0.35672,0.85325,0.95586,0.96625,0.98896,0.90982,0.43578,0.32709,0.82857,0.000781033,0.000781033,0.000781033
17,9433.41,0.51103,0.34838,0.85119,0.95818,0.9709,0.98509,0.91113,0.41952,0.32357,0.82162,0.000759035,0.000759035,0.000759035
18,9952.55,0.50141,0.34767,0.85242,0.96832,0.9673,0.99059,0.91505,0.41708,0.30844,0.82174,0.000737037,0.000737037,0.000737037
19,10536.1,0.49893,0.34003,0.84964,0.97294,0.973,0.99254,0.92544,0.40066,0.28718,0.81728,0.00071504,0.00071504,0.00071504
20,11066.4,0.49871,0.33927,0.84618,0.95951,0.97447,0.99045,0.92373,0.39561,0.3034,0.81664,0.000693042,0.000693042,0.000693042
21,11591.4,0.49001,0.33448,0.85047,0.97193,0.95958,0.9898,0.92107,0.39321,0.29608,0.81574,0.000671044,0.000671044,0.000671044
22,12153.2,0.48225,0.32803,0.8421,0.97284,0.96845,0.99169,0.91922,0.41657,0.29128,0.81938,0.000649046,0.000649046,0.000649046
23,12752.4,0.4776,0.32346,0.84479,0.97133,0.97013,0.99111,0.92702,0.39011,0.28409,0.81581,0.000627048,0.000627048,0.000627048
24,13425.4,0.47672,0.31952,0.84534,0.97607,0.97766,0.99219,0.93258,0.38709,0.2751,0.81523,0.000605051,0.000605051,0.000605051
25,14069.9,0.47272,0.31406,0.84271,0.96728,0.97769,0.99135,0.92734,0.39061,0.27834,0.81592,0.000583053,0.000583053,0.000583053
26,14648.5,0.47064,0.3128,0.84177,0.97422,0.97125,0.99107,0.92426,0.3932,0.28765,0.81438,0.000561055,0.000561055,0.000561055
27,15167.8,0.46136,0.30637,0.83912,0.9703,0.98225,0.99238,0.93247,0.38124,0.26587,0.81384,0.000539057,0.000539057,0.000539057
28,15816.8,0.46217,0.30717,0.84096,0.9724,0.93991,0.97142,0.90818,0.39212,0.27555,0.81581,0.000517059,0.000517059,0.000517059
29,16973.9,0.46216,0.29933,0.84195,0.97419,0.97602,0.99204,0.93221,0.36975,0.26002,0.80873,0.000495062,0.000495062,0.000495062
30,17478.5,0.4542,0.29642,0.83969,0.9657,0.98207,0.99184,0.9335,0.37665,0.26658,0.81217,0.000473064,0.000473064,0.000473064
31,17988.4,0.448,0.29122,0.83484,0.96448,0.9754,0.99214,0.92892,0.37023,0.26721,0.8094,0.000451066,0.000451066,0.000451066
32,18498.4,0.44594,0.28914,0.83629,0.97123,0.97879,0.99202,0.93079,0.37423,0.25993,0.81181,0.000429068,0.000429068,0.000429068
33,18998.1,0.4469,0.28865,0.83511,0.96568,0.98291,0.99109,0.93605,0.36627,0.25799,0.80814,0.00040707,0.00040707,0.00040707
34,19505,0.44073,0.28417,0.83551,0.97493,0.97584,0.99149,0.93294,0.37537,0.25659,0.80908,0.000385073,0.000385073,0.000385073
35,20009.2,0.43915,0.28288,0.83623,0.97542,0.97948,0.99215,0.93998,0.3612,0.24839,0.80495,0.000363075,0.000363075,0.000363075
36,20519.3,0.43292,0.27479,0.8327,0.97139,0.9862,0.99264,0.93422,0.35643,0.25213,0.80491,0.000341077,0.000341077,0.000341077
37,21016.4,0.43122,0.27433,0.83062,0.97181,0.97818,0.99229,0.9429,0.35985,0.24559,0.80377,0.000319079,0.000319079,0.000319079
38,21515.5,0.42823,0.27013,0.83014,0.97238,0.97686,0.9924,0.94078,0.36251,0.24675,0.80727,0.000297081,0.000297081,0.000297081
39,22012.2,0.42624,0.26657,0.83352,0.9748,0.9763,0.99186,0.94185,0.36074,0.2469,0.80668,0.000275084,0.000275084,0.000275084
